item_id,order_id,product_id,product_name,category,quantity,unit_price,gst_rate,gst_amount,discount_amount,total_price
ITM0000019,ORD000009,PRD0011,Marico Laptop Max,Electronics,1,28226,18,5080.68,994.02,32312.66
ITM0000020,ORD000009,PRD0142,Noise Ethnic Dress Pro,Fashion,3,3261,5,489.15,642.74,9629.41
ITM0000021,ORD000009,PRD0858,Hindusta Unilever Car Seat Cover Pro,Automotive,3,8942,28,7511.28,4480.55,29856.73
ITM0000022,ORD000010,PRD0292,Titan Curtains Elite,Home & Kitchen,3,18583,12,6689.88,10615.8,51823.08
ITM0000023,ORD000010,PRD0367,Wipro Engineering Book Premium,Books,1,288,0,0.0,2.0,286.0
ITM0000024,ORD000010,PRD0178,Bajaj Sherwani Base,Fashion,2,2117,5,211.7,143.97,4301.73
ITM0000025,ORD000011,PRD0068,Maruti Power Bank Base,Electronics,3,6907,18,3729.78,1271.49,23179.29
ITM0000026,ORD000011,PRD0581,Gizmore Gym Gloves Premium,Sports & Fitness,2,13966,12,3351.84,2698.86,28584.98
ITM0000027,ORD000011,PRD0626,Titan Soft Toy Max,Toys & Baby,1,857,12,102.84,71.49,888.35
ITM0000028,ORD000011,PRD0186,Hindusta Unilever Kurti Standard,Fashion,3,2940,5,441.0,37.81,9223.19
ITM0000029,ORD000012,PRD0925,Marico Printer Paper Base,Office Supplies,1,5110,18,919.8,882.57,5147.23
ITM0000030,ORD000013,PRD0397,Hero Biography Lite,Books,3,389,0,0.0,199.92,967.08
ITM0000031,ORD000013,PRD0442,Orient Multivitamins Plus,Beauty & Health,1,1928,18,347.04,270.75,2004.29
ITM0000032,ORD000013,PRD0120,V-Guard Women Saree Lite,Fashion,2,11294,5,1129.4,2548.96,21168.44
ITM0000033,ORD000014,PRD0836,HDFC Tyre Inflator Plus,Automotive,2,7289,28,4081.84,537.96,18121.88
ITM0000034,ORD000014,PRD0930,Reliance Printer Paper Lite,Office Supplies,2,1502,18,540.72,436.62,3108.1
ITM0000035,ORD000014,PRD0596,Voltas Resistance Band Pro,Sports & Fitness,2,45453,12,10908.72,3041.81,98772.91
ITM0000036,ORD000014,PRD0580,Pidilite Swimming Goggles Classic,Sports & Fitness,1,31108,12,3732.96,2679.29,32161.67
ITM0000037,ORD000015,PRD0811,Syska Bike Helmet Base,Automotive,2,6956,28,3895.36,123.07,17684.29
ITM0000038,ORD000015,PRD0669,Crossbeats Baby Stroller Elite,Toys & Baby,3,2238,12,805.68,1036.64,6483.04
ITM0000039,ORD000016,PRD0486,Noise Lipstick Max,Beauty & Health,1,1885,18,339.3,273.78,1950.52
ITM0000040,ORD000016,PRD0016,ITC Laptop Lite,Electronics,1,136777,18,24619.86,302.04,161094.82
ITM0000041,ORD000017,PRD0879,Finolex Car Vacuum Base,Automotive,1,8233,28,2305.24,1045.26,9492.98
ITM0000042,ORD000017,PRD0424,Titan Shampoo Elite,Beauty & Health,1,2041,18,367.38,203.09,2205.29
ITM0000043,ORD000018,PRD0505,Marico Yoga Mat Pro,Sports & Fitness,1,7578,12,909.36,734.47,7752.89
ITM0000044,ORD000018,PRD0599,Bajaj Electricals Resistance Band Ultra,Sports & Fitness,1,19581,12,2349.72,2697.83,19232.89
ITM0000045,ORD000018,PRD0411,Havells Hair Oil Standard,Beauty & Health,1,1321,18,237.78,194.8,1363.98
ITM0000046,ORD000018,PRD0697,Infosys Rattle Set Base,Toys & Baby,2,4113,12,987.12,684.47,8528.65
ITM0000047,ORD000019,PRD0662,Titan Baby Stroller Base,Toys & Baby,2,1890,12,453.6,435.16,3798.44
ITM0000048,ORD000019,PRD0936,Maruti File Folder Lite,Office Supplies,1,459,18,82.62,87.5,454.12
ITM0000049,ORD000020,PRD0808,Bajaj Car Cover Premium,Automotive,1,6229,28,1744.12,648.41,7324.71
ITM0000050,ORD000021,PRD0504,Orient Yoga Mat Ultra,Sports & Fitness,3,48271,12,17377.56,22502.26,139688.3
ITM0000051,ORD000021,PRD0057,Orient Bluetooth Speaker Max,Electronics,2,59826,18,21537.36,16642.61,124546.75
ITM0000052,ORD000022,PRD0217,Wipro Mixer Grinder Elite,Home & Kitchen,3,18839,12,6782.04,3377.92,59921.12
ITM0000053,ORD000023,PRD0178,Bajaj Sherwani Base,Fashion,1,2117,5,105.85,173.35,2049.5
ITM0000054,ORD000024,PRD0788,Gizmore Turmeric Powder Elite,Grocery,2,977,0,0.0,111.78,1842.22
ITM0000055,ORD000024,PRD0717,Syska Organic Dal Standard,Grocery,1,1838,0,0.0,299.34,1538.66
ITM0000056,ORD000024,PRD0649,Infosys Building Blocks Premium,Toys & Baby,1,3339,12,400.68,393.96,3345.72
ITM0000057,ORD000025,PRD0873,Noise Car Vacuum Ultra,Automotive,3,6829,28,5736.36,1670.26,24553.1
ITM0000058,ORD000025,PRD0956,Amul Whiteboard Elite,Office Supplies,1,7620,18,1371.6,73.4,8918.2
ITM0000059,ORD000026,PRD0149,Maruti Ethnic Dress Ultra,Fashion,2,14979,5,1497.9,2607.97,28847.93
ITM0000060,ORD000026,PRD0925,Marico Printer Paper Base,Office Supplies,2,5110,18,1839.6,812.2,11247.4
ITM0000061,ORD000026,PRD0117,Tata Women Saree Lite,Fashion,3,13390,5,2008.5,646.44,41532.06
ITM0000062,ORD000026,PRD0577,Wipro Swimming Goggles Ultra,Sports & Fitness,2,29423,12,7061.52,4602.18,61305.34
ITM0000063,ORD000027,PRD0806,Havells Car Cover Standard,Automotive,3,3579,28,3006.36,2087.65,11655.71
ITM0000064,ORD000027,PRD0493,Syska Face Wash Pro,Beauty & Health,2,1263,18,454.68,9.49,2971.19
ITM0000065,ORD000028,PRD0364,Polycab Engineering Book Premium,Books,1,907,0,0.0,26.52,880.48
ITM0000066,ORD000028,PRD0756,Syska Honey Classic,Grocery,3,1080,0,0.0,103.89,3136.11
ITM0000067,ORD000028,PRD0150,Voltas Ethnic Dress Ultra,Fashion,1,4515,5,225.75,575.47,4165.28
ITM0000068,ORD000028,PRD0807,Marico Car Cover Pro,Automotive,2,1471,28,823.76,72.22,3693.54
ITM0000069,ORD000029,PRD0949,Pebble Stapler Ultra,Office Supplies,2,3628,18,1306.08,1269.4,7292.68
ITM0000070,ORD000030,PRD0008,Hindusta Unilever Smartphone Pro,Electronics,3,80133,18,43271.82,44413.12,239257.7
ITM0000071,ORD000031,PRD0840,Usha Tyre Inflator Classic,Automotive,3,9091,28,7636.44,3306.12,31603.32
ITM0000072,ORD000031,PRD0609,Maruti Board Game Elite,Toys & Baby,2,286,12,68.64,44.61,596.03
ITM0000073,ORD000031,PRD0600,Pebble Resistance Band Max,Sports & Fitness,1,39916,12,4789.92,3248.82,41457.1
ITM0000074,ORD000032,PRD0886,HCL LED Car Lights Ultra,Automotive,2,4131,28,2313.36,633.08,9942.28
ITM0000075,ORD000032,PRD0836,HDFC Tyre Inflator Plus,Automotive,2,7289,28,4081.84,320.52,18339.32
ITM0000076,ORD000032,PRD0994,Wipro Pen Drive Premium,Office Supplies,2,3814,18,1373.04,314.01,8687.03
ITM0000077,ORD000033,PRD0025,Mahindra Tablet Plus,Electronics,2,141311,18,50871.96,55232.65,278261.31
ITM0000078,ORD000033,PRD0129,Ambrane Jeans Classic,Fashion,3,12936,5,1940.4,1586.68,39161.72
ITM0000079,ORD000033,PRD0196,Titan Sports Shoes Plus,Fashion,2,10793,5,1079.3,1046.56,21618.74
ITM0000080,ORD000034,PRD0055,Reliance Bluetooth Speaker Standard,Electronics,3,139184,18,75159.36,63872.41,428838.95
ITM0000081,ORD000034,PRD0564,Polycab Football Pro,Sports & Fitness,3,35620,12,12823.2,21344.1,98339.1
ITM0000082,ORD000035,PRD0067,Ambrane Power Bank Classic,Electronics,3,147364,18,79576.56,9087.82,512580.74
ITM0000083,ORD000035,PRD0637,Bajaj Electricals Remote Control Car Base,Toys & Baby,2,2449,12,587.76,206.25,5279.51
ITM0000084,ORD000035,PRD0212,Dabur Mixer Grinder Base,Home & Kitchen,1,14115,12,1693.8,2577.87,13230.93
ITM0000085,ORD000035,PRD0461,Usha Essential Oil Classic,Beauty & Health,2,440,18,158.4,68.45,969.95
ITM0000086,ORD000036,PRD0650,Polycab Building Blocks Lite,Toys & Baby,3,386,12,138.96,0.92,1296.04
ITM0000087,ORD000036,PRD0632,Orient Remote Control Car Premium,Toys & Baby,2,3923,12,941.52,1008.03,7779.49
ITM0000088,ORD000036,PRD0907,Infosys Notebook Set Max,Office Supplies,3,2264,18,1222.56,25.08,7989.48
ITM0000089,ORD000036,PRD0220,Titan Mixer Grinder Elite,Home & Kitchen,2,3949,12,947.76,721.23,8124.53
ITM0000090,ORD000037,PRD0820,Godrej Bike Helmet Plus,Automotive,3,3241,28,2722.44,15.02,12430.42
ITM0000091,ORD000037,PRD0623,Usha Soft Toy Ultra,Toys & Baby,2,2966,12,711.84,228.89,6414.95
ITM0000092,ORD000038,PRD0148,Bajaj Ethnic Dress Max,Fashion,1,10033,5,501.65,25.52,10509.13
ITM0000093,ORD000038,PRD0472,Havells Kajal Premium,Beauty & Health,1,563,18,101.34,25.73,638.61
ITM0000094,ORD000039,PRD0996,Reliance Pen Drive Plus,Office Supplies,3,6466,18,3491.64,3022.62,19867.02
ITM0000095,ORD000039,PRD0382,Titan History Book Premium,Books,1,225,0,0.0,22.19,202.81
ITM0000096,ORD000040,PRD0264,Tata Table Fan Classic,Home & Kitchen,1,4015,12,481.8,187.86,4308.94
ITM0000097,ORD000040,PRD0519,Voltas Dumbbells Ultra,Sports & Fitness,1,38189,12,4582.68,5668.54,37103.14
ITM0000098,ORD000040,PRD0304,Wipro Fiction Novel Base,Books,2,821,0,0.0,294.0,1348.0
ITM0000099,ORD000040,PRD0908,Tata Notebook Set Lite,Office Supplies,1,3951,18,711.18,100.45,4561.73
ITM0000100,ORD000041,PRD0069,Gizmore Power Bank Plus,Electronics,1,76220,18,13719.6,14084.75,75854.85
ITM0000101,ORD000042,PRD0197,Ambrane Sports Shoes Base,Fashion,2,12514,5,1251.4,2402.12,23877.28
ITM0000102,ORD000043,PRD0638,Infosys Remote Control Car Plus,Toys & Baby,3,3327,12,1197.72,786.24,10392.48
ITM0000103,ORD000043,PRD0300,ITC Curtains Ultra,Home & Kitchen,1,216,12,25.92,41.67,200.25
ITM0000104,ORD000044,PRD0778,Bajaj Green Tea Plus,Grocery,3,1005,0,0.0,372.16,2642.84
ITM0000105,ORD000044,PRD0402,Crompton Face Cream Elite,Beauty & Health,2,2968,18,1068.48,312.74,6691.74
ITM0000106,ORD000044,PRD0805,Titan Car Cover Standard,Automotive,1,3710,28,1038.8,545.07,4203.73
ITM0000107,ORD000045,PRD0769,Voltas Dry Fruits Mix Standard,Grocery,3,697,0,0.0,187.22,1903.78
ITM0000108,ORD000045,PRD0636,Titan Remote Control Car Pro,Toys & Baby,2,490,12,117.6,108.1,989.5
ITM0000109,ORD000046,PRD0104,Noise Men Kurta Classic,Fashion,3,4196,5,629.4,492.61,12724.79
ITM0000110,ORD000046,PRD0490,Voltas Lipstick Max,Beauty & Health,2,2918,18,1050.48,277.39,6609.09
ITM0000111,ORD000046,PRD0269,Usha Table Fan Base,Home & Kitchen,1,15676,12,1881.12,2068.35,15488.77
ITM0000112,ORD000046,PRD0581,Gizmore Gym Gloves Premium,Sports & Fitness,3,13966,12,5027.76,4076.55,42849.21
ITM0000113,ORD000047,PRD0261,Pidilite Table Fan Pro,Home & Kitchen,3,22265,12,8015.4,2453.08,72357.32
ITM0000114,ORD000048,PRD0498,V-Guard Face Wash Max,Beauty & Health,2,2836,18,1020.96,28.41,6664.55
ITM0000115,ORD000048,PRD0800,Bajaj Spice Kit Pro,Grocery,1,1419,0,0.0,33.06,1385.94
ITM0000116,ORD000048,PRD0805,Titan Car Cover Standard,Automotive,2,3710,28,2077.6,489.29,9008.31
ITM0000117,ORD000048,PRD0714,Noise Organic Dal Base,Grocery,2,1247,0,0.0,74.09,2419.91
ITM0000118,ORD000049,PRD0801,Voltas Car Cover Pro,Automotive,2,5490,28,3074.4,1808.94,12245.46
ITM0000119,ORD000049,PRD0314,Infosys UPSC Guide Base,Books,2,1363,0,0.0,255.09,2470.91
ITM0000120,ORD000049,PRD0369,Godrej Engineering Book Lite,Books,1,914,0,0.0,5.51,908.49
ITM0000121,ORD000049,PRD0605,Hindusta Unilever Board Game Standard,Toys & Baby,1,1549,12,185.88,263.78,1471.1
ITM0000122,ORD000050,PRD0870,Hindusta Unilever Bike Lock Max,Automotive,1,7193,28,2014.04,194.25,9012.79
ITM0000123,ORD000050,PRD0630,Bajaj Electricals Soft Toy Lite,Toys & Baby,2,959,12,230.16,9.97,2138.19
ITM0000124,ORD000050,PRD0704,Tata Basmati Rice Elite,Grocery,2,505,0,0.0,18.14,991.86
ITM0000125,ORD000050,PRD0045,Orient Headphones Classic,Electronics,3,53396,18,28833.84,24461.94,164559.9
ITM0000126,ORD000051,PRD0736,V-Guard Cold Pressed Oil Elite,Grocery,3,1545,0,0.0,66.04,4568.96
ITM0000127,ORD000051,PRD0453,Ambrane Protein Powder Max,Beauty & Health,2,143,18,51.48,13.09,324.39
ITM0000128,ORD000052,PRD0411,Havells Hair Oil Standard,Beauty & Health,1,1321,18,237.78,153.56,1405.22
ITM0000129,ORD000052,PRD0185,Pidilite Kurti Pro,Fashion,1,4014,5,200.7,241.35,3973.35
ITM0000130,ORD000052,PRD0887,Gizmore LED Car Lights Classic,Automotive,1,6310,28,1766.8,332.49,7744.31
ITM0000131,ORD000053,PRD0654,Crossbeats Puzzle Set Elite,Toys & Baby,3,1190,12,428.4,224.52,3773.88
ITM0000132,ORD000053,PRD0678,Voltas Diaper Lite,Toys & Baby,1,3588,12,430.56,18.75,3999.81
ITM0000133,ORD000053,PRD0608,Crompton Board Game Classic,Toys & Baby,1,1657,12,198.84,14.0,1841.84
ITM0000134,ORD000053,PRD0383,Infosys History Book Standard,Books,3,908,0,0.0,436.01,2287.99
ITM0000135,ORD000054,PRD0200,Titan Sports Shoes Standard,Fashion,1,4746,5,237.3,300.39,4682.91
ITM0000136,ORD000054,PRD0626,Titan Soft Toy Max,Toys & Baby,2,857,12,205.68,36.8,1882.88
ITM0000137,ORD000054,PRD0776,Gizmore Green Tea Max,Grocery,1,348,0,0.0,58.05,289.95
ITM0000138,ORD000054,PRD0620,Godrej Educational Toy Pro,Toys & Baby,1,2314,12,277.68,162.87,2428.81
ITM0000139,ORD000055,PRD0881,Finolex LED Car Lights Ultra,Automotive,3,7047,28,5919.48,683.42,26377.06
ITM0000140,ORD000055,PRD0823,Pidilite Car Perfume Plus,Automotive,1,9107,28,2549.96,1546.31,10110.65
ITM0000141,ORD000055,PRD0750,HDFC Atta Classic,Grocery,3,594,0,0.0,322.78,1459.22
ITM0000142,ORD000055,PRD0146,Berger Ethnic Dress Base,Fashion,3,4674,5,701.1,1811.7,12911.4
ITM0000143,ORD000056,PRD0234,Marico Water Purifier Standard,Home & Kitchen,2,8488,12,2037.12,2557.23,16455.89
ITM0000144,ORD000056,PRD0414,Finolex Hair Oil Lite,Beauty & Health,1,1823,18,328.14,1.17,2149.97
ITM0000145,ORD000057,PRD0424,Titan Shampoo Elite,Beauty & Health,1,2041,18,367.38,133.13,2275.25
ITM0000146,ORD000057,PRD0155,Usha Formal Shirt Plus,Fashion,3,9058,5,1358.7,2137.54,26395.16
ITM0000147,ORD000058,PRD0285,Pebble Bedsheet Set Premium,Home & Kitchen,1,13396,12,1607.52,1296.1,13707.42
ITM0000148,ORD000058,PRD0966,Infosys Calculator Premium,Office Supplies,1,4075,18,733.5,569.56,4238.94
ITM0000149,ORD000059,PRD0759,HCL Honey Max,Grocery,2,1580,0,0.0,247.09,2912.91
ITM0000150,ORD000059,PRD0851,ITC Car Seat Cover Standard,Automotive,2,6818,28,3818.08,1421.24,16032.84
ITM0000151,ORD000059,PRD0830,Maruti Car Perfume Elite,Automotive,1,3418,28,957.04,164.65,4210.39
ITM0000152,ORD000060,PRD0182,Hindusta Unilever Kurti Elite,Fashion,3,8430,5,1264.5,2372.46,24182.04
ITM0000153,ORD000060,PRD0169,Dabur Lehenga Pro,Fashion,1,1503,5,75.15,184.15,1394.0
ITM0000154,ORD000060,PRD0094,Berger Router Pro,Electronics,3,62532,18,33767.28,18616.85,202746.43
ITM0000155,ORD000061,PRD0501,Usha Yoga Mat Elite,Sports & Fitness,3,25568,12,9204.48,6120.31,79788.17
ITM0000156,ORD000061,PRD0157,Orient Formal Shirt Ultra,Fashion,3,1331,5,199.65,62.27,4130.38
ITM0000157,ORD000062,PRD0243,Marico Air Purifier Standard,Home & Kitchen,1,20439,12,2452.68,984.84,21906.84
ITM0000158,ORD000063,PRD0437,boAt Sunscreen Ultra,Beauty & Health,3,2404,18,1298.16,922.03,7588.13
ITM0000159,ORD000064,PRD0294,Finolex Curtains Standard,Home & Kitchen,2,19495,12,4678.8,2334.15,41334.65
ITM0000160,ORD000064,PRD0083,Pebble Camera Premium,Electronics,2,66551,18,23958.36,21086.49,135973.87
ITM0000161,ORD000064,PRD0870,Hindusta Unilever Bike Lock Max,Automotive,2,7193,28,4028.08,1112.52,17301.56
ITM0000162,ORD000065,PRD0122,Infosys Jeans Premium,Fashion,2,6583,5,658.3,1391.33,12432.97
ITM0000163,ORD000066,PRD0882,Wipro LED Car Lights Lite,Automotive,1,2618,28,733.04,76.96,3274.08
ITM0000164,ORD000066,PRD0888,Finolex LED Car Lights Premium,Automotive,3,8861,28,7443.24,2633.39,31392.85
ITM0000165,ORD000066,PRD0151,HDFC Formal Shirt Base,Fashion,2,8355,5,835.5,2698.85,14846.65
ITM0000166,ORD000066,PRD0832,HCL Tyre Inflator Max,Automotive,3,5434,28,4564.56,2169.23,18697.33
ITM0000167,ORD000067,PRD0956,Amul Whiteboard Elite,Office Supplies,2,7620,18,2743.2,235.14,17748.06
ITM0000168,ORD000067,PRD0468,Ambrane Essential Oil Standard,Beauty & Health,1,912,18,164.16,107.55,968.61
ITM0000169,ORD000067,PRD0576,Hero Swimming Goggles Standard,Sports & Fitness,1,735,12,88.2,2.15,821.05
ITM0000170,ORD000067,PRD0479,Portronics Kajal Plus,Beauty & Health,3,725,18,391.5,408.85,2157.65
ITM0000171,ORD000068,PRD0652,Tata Puzzle Set Max,Toys & Baby,2,1894,12,454.56,737.62,3504.94
ITM0000172,ORD000068,PRD0275,Fire-Boltt LED Bulb Premium,Home & Kitchen,2,5810,12,1394.4,1005.57,12008.83
ITM0000173,ORD000068,PRD0493,Syska Face Wash Pro,Beauty & Health,3,1263,18,682.02,436.6,4034.42
ITM0000174,ORD000069,PRD0292,Titan Curtains Elite,Home & Kitchen,3,18583,12,6689.88,5900.05,56538.83
ITM0000175,ORD000069,PRD0855,Pidilite Car Seat Cover Classic,Automotive,2,1497,28,838.32,491.47,3340.85
ITM0000176,ORD000069,PRD0915,Bajaj Pen Pack Max,Office Supplies,2,6229,18,2242.44,1077.11,13623.33
ITM0000177,ORD000070,PRD0153,Mahindra Formal Shirt Standard,Fashion,3,11187,5,1678.05,2413.12,32825.93
ITM0000178,ORD000070,PRD0460,HCL Protein Powder Pro,Beauty & Health,2,606,18,218.16,126.07,1304.09
ITM0000179,ORD000071,PRD0325,Gizmore MBA Textbook Ultra,Books,2,1301,0,0.0,46.5,2555.5
ITM0000180,ORD000071,PRD0913,Hindusta Unilever Pen Pack Standard,Office Supplies,1,1303,18,234.54,220.0,1317.54
ITM0000181,ORD000071,PRD0050,Berger Headphones Standard,Electronics,1,105666,18,19019.88,12184.59,112501.29
ITM0000182,ORD000071,PRD0556,Ambrane Cycle Standard,Sports & Fitness,2,1107,12,265.68,244.41,2235.27
ITM0000183,ORD000072,PRD0131,Bajaj Electricals T-Shirt Plus,Fashion,2,12059,5,1205.9,12.25,25311.65
ITM0000184,ORD000072,PRD0803,Gizmore Car Cover Elite,Automotive,2,4809,28,2693.04,1489.65,10821.39
ITM0000185,ORD000072,PRD0734,Mivi Cold Pressed Oil Lite,Grocery,1,220,0,0.0,9.73,210.27
ITM0000186,ORD000072,PRD0500,Noise Face Wash Elite,Beauty & Health,1,527,18,94.86,52.58,569.28
ITM0000187,ORD000073,PRD0749,Hero Atta Max,Grocery,2,276,0,0.0,81.9,470.1
ITM0000188,ORD000073,PRD0729,Tata Desi Ghee Lite,Grocery,1,1560,0,0.0,133.44,1426.56
ITM0000189,ORD000073,PRD0866,Fire-Boltt Bike Lock Lite,Automotive,2,2917,28,1633.52,753.1,6714.42
ITM0000190,ORD000073,PRD0304,Wipro Fiction Novel Base,Books,2,821,0,0.0,137.03,1504.97
ITM0000191,ORD000074,PRD0137,Usha T-Shirt Plus,Fashion,1,2153,5,107.65,388.84,1871.81
ITM0000192,ORD000074,PRD0226,Gizmore Rice Cooker Pro,Home & Kitchen,3,14411,12,5187.96,5237.55,43183.41
ITM0000193,ORD000075,PRD0355,Fire-Boltt Children Story Base,Books,2,1410,0,0.0,120.54,2699.46
ITM0000194,ORD000076,PRD0754,Voltas Honey Max,Grocery,2,857,0,0.0,259.78,1454.22
ITM0000195,ORD000076,PRD0477,Hero Kajal Base,Beauty & Health,1,2623,18,472.14,18.71,3076.43
ITM0000196,ORD000076,PRD0820,Godrej Bike Helmet Plus,Automotive,2,3241,28,1814.96,1194.59,7102.37
ITM0000197,ORD000076,PRD0319,boAt UPSC Guide Base,Books,3,1056,0,0.0,441.56,2726.44
ITM0000198,ORD000077,PRD0710,V-Guard Basmati Rice Lite,Grocery,3,710,0,0.0,364.32,1765.68
ITM0000199,ORD000077,PRD0046,Pidilite Headphones Premium,Electronics,1,149361,18,26884.98,6452.53,169793.45
ITM0000200,ORD000078,PRD0530,Berger Cricket Bat Elite,Sports & Fitness,3,896,12,322.56,412.44,2598.12
ITM0000201,ORD000079,PRD0450,Pidilite Multivitamins Premium,Beauty & Health,3,2442,18,1318.68,1048.36,7596.32
ITM0000202,ORD000079,PRD0171,Havells Sherwani Lite,Fashion,2,3901,5,390.1,1544.34,6647.76
ITM0000203,ORD000079,PRD0644,Zebronics Building Blocks Standard,Toys & Baby,1,842,12,101.04,61.59,881.45
ITM0000204,ORD000080,PRD0246,Maruti Air Purifier Standard,Home & Kitchen,3,8728,12,3142.08,4450.45,24875.63
ITM0000205,ORD000080,PRD0466,Amul Essential Oil Premium,Beauty & Health,1,1320,18,237.6,70.67,1486.93
ITM0000206,ORD000080,PRD0472,Havells Kajal Premium,Beauty & Health,2,563,18,202.68,4.18,1324.5
ITM0000207,ORD000081,PRD0022,ITC Tablet Base,Electronics,1,69701,18,12546.18,3303.7,78943.48
ITM0000208,ORD000081,PRD0180,HDFC Sherwani Elite,Fashion,2,6407,5,640.7,1109.54,12345.16
ITM0000209,ORD000081,PRD0030,Infosys Tablet Elite,Electronics,2,58218,18,20958.48,4023.32,133371.16
ITM0000210,ORD000082,PRD0078,Titan Smartwatch Plus,Electronics,2,26092,18,9393.12,2197.06,59380.06
ITM0000211,ORD000082,PRD0013,V-Guard Laptop Elite,Electronics,3,96041,18,51862.14,3160.89,336824.25
ITM0000212,ORD000082,PRD0202,HCL Pressure Cooker Standard,Home & Kitchen,2,768,12,184.32,239.73,1480.59
ITM0000213,ORD000082,PRD0165,Hero Lehenga Base,Fashion,2,2224,5,222.4,515.47,4154.93
ITM0000214,ORD000083,PRD0088,Orient Camera Standard,Electronics,2,135310,18,48711.6,12854.29,306477.31
ITM0000215,ORD000083,PRD0859,ITC Car Seat Cover Max,Automotive,1,991,28,277.48,6.43,1262.05
ITM0000216,ORD000083,PRD0901,Havells Notebook Set Standard,Office Supplies,3,1080,18,583.2,180.2,3643.0
ITM0000217,ORD000084,PRD0736,V-Guard Cold Pressed Oil Elite,Grocery,1,1545,0,0.0,100.84,1444.16
ITM0000218,ORD000084,PRD0306,Ambrane Fiction Novel Plus,Books,1,527,0,0.0,74.88,452.12
ITM0000219,ORD000084,PRD0063,Bajaj Power Bank Premium,Electronics,2,59091,18,21272.76,4654.72,134800.04
ITM0000220,ORD000085,PRD0806,Havells Car Cover Standard,Automotive,2,3579,28,2004.24,158.31,9003.93
ITM0000221,ORD000086,PRD0899,Usha Engine Oil Classic,Automotive,1,3461,28,969.08,182.65,4247.43
ITM0000222,ORD000087,PRD0439,Crompton Sunscreen Plus,Beauty & Health,2,2783,18,1001.88,896.72,5671.16
ITM0000223,ORD000087,PRD0308,Tata Fiction Novel Elite,Books,1,1487,0,0.0,2.26,1484.74
ITM0000224,ORD000088,PRD0496,Amul Face Wash Elite,Beauty & Health,1,881,18,158.58,106.78,932.8
ITM0000225,ORD000089,PRD0468,Ambrane Essential Oil Standard,Beauty & Health,2,912,18,328.32,284.41,1867.91
ITM0000226,ORD000089,PRD0246,Maruti Air Purifier Standard,Home & Kitchen,3,8728,12,3142.08,2528.28,26797.8
ITM0000227,ORD000090,PRD0982,Polycab Desk Lamp Elite,Office Supplies,1,6436,18,1158.48,154.1,7440.38
ITM0000228,ORD000090,PRD0917,boAt Pen Pack Pro,Office Supplies,2,1905,18,685.8,635.69,3860.11
ITM0000229,ORD000090,PRD0350,Tata Self Help Book Standard,Books,2,962,0,0.0,326.84,1597.16
ITM0000230,ORD000091,PRD0389,Crompton History Book Plus,Books,3,1069,0,0.0,320.28,2886.72
ITM0000231,ORD000091,PRD0437,boAt Sunscreen Ultra,Beauty & Health,2,2404,18,865.44,280.85,5392.59
ITM0000232,ORD000091,PRD0589,Finolex Gym Gloves Ultra,Sports & Fitness,3,32077,12,11547.72,7226.85,100551.87
ITM0000233,ORD000091,PRD0326,Noise MBA Textbook Base,Books,2,527,0,0.0,118.83,935.17
